,Net Name,# Nodes,External?,Type
0,AUX PSU C1 -24,52,True,AUX PSU C1 -24
1,PLC O-10,3,False,PLC Output
2,PLC O-09,3,False,PLC Output
3,PLC O-08,3,False,PLC Output
4,PLC O-07,3,False,PLC Output
5,PLC O-06,3,False,PLC Output
6,AUX PSU C1 +24,20,True,AUX PSU C1 +24
7,AUX PSU C2 -24,12,True,AUX PSU C2 -24
8,AUX PSU C2 +24,14,True,AUX PSU C2 +24
9,Waste Pump Contactor +,3,True,Logical Output
10,Pressure Washer Contactor +,2,True,Logical Output
11,MAV RL PA1,3,False,Interconnection
12,MWV RL PA1,3,False,Interconnection
13,PLC O-03,3,False,PLC Output
14,PLC O-04,3,False,PLC Output
15,PLC O-05,3,False,PLC Output
16,PLC O-00,3,False,PLC Output
17,PLC O-01,2,False,PLC Output
18,PLC O-02,3,False,PLC Output
19,PLC I-05,5,False,PLC Input
20,MAV PLC RL P12,2,False,Interconnection
21,Stop Button -,2,True,PLC Input
22,Pause Button -,2,True,PLC Input
23,Start Button -,2,True,PLC Input
24,Level Switch -,5,True,PLC Input
25,Pumping Indicator +,2,True,PLC Output
26,Drying Indicator +,2,True,PLC Output
27,Washing Indicator +,2,True,PLC Output
28,Error Light +,2,True,PLC Output
29,Start Light +,2,True,PLC Output
30,Pause Light +,2,True,PLC Output
31,Stop Light +,2,True,PLC Output
32,PLC  PSU C1 -24,2,True,PLC  PSU C1 -24
33,PLC  PSU C1 +24,2,True,PLC  PSU C1 +24
34,Valve 2-4 p3,2,True,Logical Output
35,Valve 2-4 p1,2,True,Logical Output
36,Valve 2-3 p3,2,True,Logical Output
37,Valve 2-3 p1,2,True,Logical Output
38,Valve 2-2 p3,2,True,Logical Output
39,Valve 2-2 p1,2,True,Logical Output
40,Valve 2-1 p3,2,True,Logical Output
41,Valve 2-1 p1,2,True,Logical Output
42,Valve 1-4 p3,2,True,Logical Output
43,Valve 1-4 p1,2,True,Logical Output
44,Water Valve p3,2,True,Logical Output
45,Water Valve p1,2,True,Logical Output
46,Air Valve p3,2,True,Logical Output
47,Air Valve p1,2,True,Logical Output
48,Valve 1-3 p3,2,True,Logical Output
49,Valve 1-3 p1,2,True,Logical Output
50,Valve 1-2 p3,2,True,Logical Output
51,Valve 1-2 p1,2,True,Logical Output
52,Valve 1-1 p3,2,True,Logical Output
53,Valve 1-1 p1,2,True,Logical Output
